id,name,type,retired,water_source,capacity,image,neighborhood,council_district,ward,tract,public_works_division,pli_division,police_zone,fire_zone,latitude,longitude
1704750315,Phillips - Main,Pool,,Pittsburgh Water and Sewer Authority,224100,https://tools.wprdc.org/images/pittsburgh/pools/Phillips_-_Main.jpg,Carrick,4,29,42003290400,3,29,3,4-23,40.39204465,-79.99110288
43656340,Ream,Pool,,Pittsburgh Water and Sewer Authority,356000,https://tools.wprdc.org/images/pittsburgh/pools/Ream.jpg,Mount Washington,2,19,42003190300,5,19,3,4-27,40.4308277,-80.01311142
1747129029,Riverview,Pool,,Pittsburgh Water and Sewer Authority,205800,https://tools.wprdc.org/images/pittsburgh/pools/Riverview.jpg,Perry North,1,26,42003980400,1,26,1,1-15,40.47968857,-80.01844071
1396040949,Schenley,Pool,,Pittsburgh Water and Sewer Authority,187600,https://tools.wprdc.org/images/pittsburgh/pools/Schenley.jpg,Squirrel Hill South,5,14,42003980500,3,14,4,2-8,40.43471452,-79.94701006
976230017,Sheraden,Pool,,Pennsylvania American Water,278000,https://tools.wprdc.org/images/pittsburgh/pools/Sheraden.jpg,Sheraden,2,20,42003562500,5,20,6,1-16,40.45709594,-80.05984694
927599833,Sue Murray,Pool,,Pittsburgh Water and Sewer Authority,271000,https://tools.wprdc.org/images/pittsburgh/pools/Sue_Murray.jpg,Allegheny Center,1,22,42003562700,1,22,1,1-6,40.45128214,-80.00150358
1404087945,Warrington Spray Park,Spray Park,,Pittsburgh Water and Sewer Authority,,https://tools.wprdc.org/images/pittsburgh/pools/Warrington_Spray_Park.jpg,Beltzhoover,3,18,42003562400,5,18,3,4-5,40.42158188,-80.00094458
558965267,West Penn,Pool,,Pittsburgh Water and Sewer Authority,215451,https://tools.wprdc.org/images/pittsburgh/pools/West_Penn.jpg,Polish Hill,7,6,42003060500,6,6,2,2-6,40.45527599,-79.96992641
1702052317,Westwood,Pool,,Pennsylvania American Water,156840,https://tools.wprdc.org/images/pittsburgh/pools/Westwood.jpg,Westwood,2,28,42003563100,5,28,6,1-18,40.43080727,-80.04975868
251269184,Arlington Spray Park,Spray Park,,Pennsylvania American Water,,https://tools.wprdc.org/images/pittsburgh/pools/Arlington_Spray_Park.jpg,South Side Slopes,3,16,42003160800,3,16,3,4-22,40.41781073,-79.97517045
54343082,Paulson,Spray Park,,Pittsburgh Water and Sewer Authority,,https://tools.wprdc.org/images/pittsburgh/pools/Paulson.jpg,Lincoln-Lemington-Belmar,9,12,42003120300,2,12,5,3-15,40.46868528,-79.90086761
